Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_012.jpg;0;0;1;0;100.1227;85.54473;0.0002353542;358.3323;-2.310475E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_071.jpg;0;0;0;0;100.1227;85.54473;0.0002353542;358.3323;-2.310475E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_137.jpg;0;0;0;0;100.1227;85.54473;0.0002353542;358.3323;-2.310475E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_204.jpg;0;0;0;0;100.1227;85.54473;0.0002353542;358.3323;-2.310475E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_270.jpg;0;0;0;0;100.1227;85.54473;0.0002351311;358.3323;-2.540138E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_337.jpg;0;0;0;0;100.1227;85.54473;0.0002349846;358.3323;-2.844149E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_405.jpg;0;0;0;0;100.1227;85.54473;0.0002349934;358.3323;-3.447793E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_471.jpg;0;0;0;0;100.1227;85.54473;0.000235;358.3323;-3.900527E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_538.jpg;0;0;0;0;100.1227;85.54473;0.0002350066;358.3323;-4.35326E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_605.jpg;0;0;0;0;100.1227;85.54473;0.0002350154;358.3323;-4.956905E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_672.jpg;0;0;0;0;100.1227;85.54473;0.0002347923;358.3323;-5.186567E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_737.jpg;0;0;0;0;100.1227;85.54473;0.0002345692;358.3323;-5.41623E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_805.jpg;0;0;0;0;100.1227;85.54473;0.0002342718;358.3323;-5.722442E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_871.jpg;0;0;0;0;100.1227;85.54473;0.0002340487;358.3323;-5.952105E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_42_938.jpg;0;0;0;0;100.1227;85.54473;0.0002338256;358.3323;-6.181768E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_005.jpg;0;0;0;0;100.1227;85.54473;0.0002335282;358.3323;-6.48798E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_072.jpg;0;0;0;0;100.1227;85.54473;0.0002336113;358.3323;-7.015075E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_138.jpg;0;0;0;0;100.1227;85.54473;0.0002336901;358.3323;-7.240348E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_205.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_272.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_355.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_405.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_473.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_539.jpg;0;0;0;0;100.1227;85.54473;0.0002339132;358.3323;-7.010685E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_606.jpg;0;0;0;0;100.1227;85.54473;0.0002337601;358.3323;-6.861962E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_672.jpg;0;0;0;0;100.1227;85.54473;0.0002335304;358.3323;-6.638892E-06
/home/ashim/Desktop/udacity_ws/RoboND-Rover-Project/autonomous_navigation_dataset/IMG/robocam_2017_10_15_00_42_43_739.jpg;0;0;0;0;100.1227;85.54473;0.0002336069;358.3323;-6.713253E-06
